img_path,nr_lanes,lane
bdd100k/images/100k/val/b1cebfb7-284f5117.jpg,1,1
bdd100k/images/100k/val/b1d0091f-75824d0d.jpg,3,2
bdd100k/images/100k/val/b1d0091f-f2c2d2ae.jpg,1,1
bdd100k/images/100k/val/b1d0a191-de8948f6.jpg,2,2
bdd100k/images/100k/val/b1d7b3ac-5af8623b.jpg,1,1
bdd100k/images/100k/val/b1df722f-57d21f3f.jpg,4,3
bdd100k/images/100k/val/b1df722f-5bcc3db7.jpg,5,3
bdd100k/images/100k/val/b1e6efc0-2552cc5d.jpg,2,1
bdd100k/images/100k/val/b1e8ad72-c3c79240.jpg,2,1
bdd100k/images/100k/val/b1ea0ae4-4f770228.jpg,2,2
bdd100k/images/100k/val/b1f4491b-846d8cb2.jpg,2,2
bdd100k/images/100k/val/b1f4491b-bf7d513f.jpg,4,2
bdd100k/images/100k/val/b1f4491b-cf446195.jpg,4,3
bdd100k/images/100k/val/b1f4491b-dd8dfed5.jpg,3,2
bdd100k/images/100k/val/b1f85377-44885085.jpg,4,2
bdd100k/images/100k/val/b202cae2-672e61c5.jpg,3,1
bdd100k/images/100k/val/b205eb4d-f84aaa1a.jpg,3,1
bdd100k/images/100k/val/b20841f9-cef732d5.jpg,3,2
bdd100k/images/100k/val/b20b69d2-64b9cdb8.jpg,2,2
bdd100k/images/100k/val/b20b69d2-6e2b9e73.jpg,2,2
bdd100k/images/100k/val/b20b69d2-bd242bf0.jpg,1,1
bdd100k/images/100k/val/b20b69d2-ca16c907.jpg,3,2
bdd100k/images/100k/val/b20b69d2-e31380a7.jpg,1,1
bdd100k/images/100k/val/b20b9c19-91e01a50.jpg,4,3
bdd100k/images/100k/val/b20d494a-cdebe83e.jpg,2,2
bdd100k/images/100k/val/b2156f8e-72e1547c.jpg,4,3
bdd100k/images/100k/val/b2169b74-fa197951.jpg,1,1
bdd100k/images/100k/val/b22a4d9f-48b2e986.jpg,3,2
bdd100k/images/100k/val/b237db93-fab44bf2.jpg,3,3
bdd100k/images/100k/val/b2408e45-984ba5aa.jpg,4,3
